iter	Logloss
0	0.6731015327
1	0.6592015256
2	0.6519793668
3	0.643895299
4	0.6399674783
5	0.6367386834
6	0.6342520489
7	0.6316521384
8	0.6285746543
9	0.6265799937
10	0.6251668202
11	0.6238129594
12	0.6228421856
13	0.6218835247
14	0.6207887489
15	0.6202786335
16	0.6196082724
17	0.61897123
18	0.6184905758
19	0.6178429855
20	0.6173995441
21	0.6168514357
22	0.6163359805
23	0.6159804588
24	0.6144159899
25	0.6135888444
26	0.6133315881
27	0.612818437
28	0.6125436213
29	0.6122576521
30	0.6120299169
31	0.6096997103
32	0.6095941478
33	0.6093819708
34	0.6090625566
35	0.608539713
36	0.6082964252
37	0.6080854493
38	0.6077769773
39	0.6076220759
40	0.6075193631
41	0.6059447491
42	0.6057177255
43	0.6056037432
44	0.6052798357
45	0.605172494
46	0.6049160369
47	0.6047903589
48	0.6045829652
49	0.6044828026
50	0.604333141
51	0.6042103349
52	0.6038213199
53	0.6028790521
54	0.6027764036
55	0.60256528
56	0.6024830825
57	0.6023209547
58	0.6022531886
59	0.6021714971
60	0.6020178032
61	0.6018554359
62	0.6017775885
63	0.6016928161
64	0.6015899823
65	0.6013242259
66	0.6012516752
67	0.6010712354
68	0.6009322126
69	0.6008001962
70	0.6006855914
71	0.6001251859
72	0.599965671
73	0.5998745383
74	0.5997520728
75	0.5997146661
76	0.5995442955
77	0.5994331254
78	0.5993122066
79	0.5991398115
80	0.5990397631
81	0.598910077
82	0.5988325652
83	0.5987440798
84	0.5986521252
85	0.598557913
86	0.5984550326
87	0.598300968
88	0.5981169105
89	0.5979962582
90	0.5979089857
91	0.5976801862
92	0.5976023612
93	0.5974894728
94	0.5973843383
95	0.5971807718
96	0.5970727993
97	0.5970025371
98	0.5968863326
99	0.5967516705
100	0.596635457
101	0.5965154536
102	0.5963973967
103	0.596281773
104	0.5961561289
105	0.5960721019
106	0.5959551376
107	0.5958481384
108	0.5957550767
109	0.595649127
110	0.5955474785
111	0.5954295418
112	0.5952951955
113	0.5951222607
114	0.5950085843
115	0.5949208385
116	0.5947775374
117	0.5946073295
118	0.5945195974
119	0.5944075923
120	0.5942994597
121	0.5942060657
122	0.5941365685
123	0.5940554085
124	0.5939558873
125	0.5938402515
126	0.5937380235
127	0.5936557802
128	0.5935945997
129	0.593482423
130	0.5933972071
131	0.5933305138
132	0.5932389632
133	0.5931558517
134	0.5930764571
135	0.5929967483
136	0.5929059608
137	0.5927485804
138	0.5926798579
139	0.5925907489
140	0.5925186111
141	0.5924106771
142	0.5923509737
143	0.5922873574
144	0.5921616873
145	0.5921010161
146	0.5920413901
147	0.5919761044
148	0.5918861246
149	0.5918234753
150	0.5917482244
151	0.5915633198
152	0.5914994834
153	0.591399551
154	0.5913284829
155	0.5912368535
156	0.591166403
157	0.5911145016
158	0.5910471208
159	0.590977914
160	0.5908715602
161	0.5908128981
162	0.5907482918
163	0.5906770456
164	0.5906098092
165	0.5905034463
166	0.5904183893
167	0.5903416352
168	0.5902583208
169	0.5901876322
170	0.5900836891
171	0.5900006081
172	0.5899301325
173	0.589866513
174	0.5897916042
175	0.5896877529
176	0.5895953834
177	0.5895319124
178	0.5894700895
179	0.58942851
180	0.5893697666
181	0.5891958503
182	0.5891253628
183	0.5890587632
184	0.5889836711
185	0.5889264009
186	0.5888555178
187	0.5888024312
188	0.5886871963
189	0.5886516171
190	0.5886027042
191	0.5885248721
192	0.5882674629
193	0.5881905224
194	0.588101675
195	0.5880454223
196	0.5879521244
197	0.5878781426
198	0.58782849
199	0.5877441238
200	0.5876562145
201	0.5875911144
202	0.5875231757
203	0.5874673873
204	0.5873844589
205	0.587329063
206	0.5872909141
207	0.5872197077
208	0.5871459856
209	0.5870765974
210	0.5869873627
211	0.5869552114
212	0.5868729478
213	0.5868156081
214	0.5867514212
215	0.5866600877
216	0.5865853069
217	0.5865152172
218	0.5864627108
219	0.586385149
220	0.5863052019
221	0.5862576379
222	0.5861935369
223	0.5861341302
224	0.5860740623
225	0.5860322564
226	0.585954925
227	0.5858619239
228	0.5857836873
229	0.5856994194
230	0.5856014639
231	0.5855293044
232	0.5854922511
233	0.5854148982
234	0.5853150326
235	0.58524158
236	0.5851750958
237	0.5851213649
238	0.5850733436
239	0.5850057021
240	0.5849394014
241	0.5848847689
242	0.5848164876
243	0.5846841547
244	0.5846386635
245	0.5845957492
246	0.5845490276
247	0.5845097436
248	0.5844546566
249	0.5843973495
