iter	Passed	Remaining
0	67	16767
1	114	14206
2	157	12976
3	203	12526
4	234	11514
5	263	10734
6	344	11945
7	405	12265
8	453	12146
9	489	11759
10	523	11373
11	561	11139
12	598	10904
13	636	10735
14	673	10555
15	711	10400
16	746	10232
17	789	10173
18	827	10056
19	861	9906
20	899	9805
21	935	9692
22	970	9581
23	1027	9677
24	1071	9643
25	1108	9554
26	1155	9543
27	1187	9417
28	1224	9334
29	1276	9363
30	1315	9295
31	1349	9193
32	1382	9088
33	1412	8974
34	1471	9041
35	1530	9096
36	1580	9098
37	1618	9031
38	1653	8945
39	1689	8868
40	1727	8808
41	1769	8760
42	1795	8641
43	1826	8551
44	1850	8430
45	1877	8326
46	1910	8250
47	1938	8157
48	1965	8064
49	2000	8002
50	2031	7925
51	2059	7840
52	2102	7814
53	2140	7768
54	2174	7709
55	2198	7614
56	2232	7558
57	2257	7473
58	2302	7453
59	2339	7408
60	2382	7381
61	2419	7335
62	2456	7290
63	2485	7222
64	2509	7142
65	2540	7083
66	2577	7040
67	2610	6987
68	2642	6931
69	2667	6860
70	2701	6811
71	2729	6748
72	2753	6675
73	2784	6621
74	2812	6562
75	2841	6505
76	2867	6442
77	2911	6420
78	2943	6372
79	2971	6313
80	3006	6272
81	3032	6211
82	3056	6150
83	3093	6114
84	3143	6102
85	3193	6090
86	3243	6077
87	3282	6042
88	3335	6034
89	3408	6060
90	3446	6022
91	3484	5984
92	3515	5934
93	3541	5877
94	3573	5830
95	3604	5782
96	3649	5756
97	3681	5709
98	3709	5658
99	3737	5606
100	3769	5560
101	3801	5515
102	3825	5460
103	3854	5410
104	3893	5376
105	3926	5333
106	3953	5283
107	3982	5236
108	4015	5194
109	4039	5141
110	4071	5098
111	4098	5050
112	4132	5010
113	4162	4965
114	4191	4919
115	4238	4895
116	4277	4862
117	4321	4833
118	4378	4820
119	4413	4781
120	4447	4741
121	4476	4696
122	4512	4658
123	4544	4617
124	4576	4576
125	4603	4530
126	4633	4487
127	4658	4440
128	4692	4401
129	4725	4361
130	4763	4327
131	4791	4283
132	4821	4241
133	4856	4204
134	4890	4165
135	4919	4123
136	4950	4083
137	4986	4047
138	5019	4008
139	5051	3969
140	5084	3930
141	5110	3886
142	5142	3848
143	5172	3807
144	5209	3772
145	5242	3734
146	5274	3695
147	5302	3654
148	5335	3616
149	5375	3583
150	5424	3556
151	5469	3526
152	5508	3492
153	5537	3451
154	5571	3414
155	5601	3375
156	5635	3338
157	5669	3300
158	5699	3261
159	5730	3223
160	5761	3184
161	5791	3145
162	5817	3105
163	5843	3064
164	5883	3030
165	5913	2992
166	5938	2951
167	5977	2917
168	6005	2878
169	6032	2839
170	6059	2799
171	6095	2764
172	6123	2725
173	6154	2688
174	6186	2651
175	6213	2612
176	6246	2576
177	6275	2538
178	6308	2502
179	6344	2467
180	6369	2428
181	6394	2389
182	6427	2353
183	6460	2317
184	6485	2278
185	6518	2242
186	6545	2205
187	6574	2168
188	6599	2130
189	6630	2093
190	6657	2056
191	6687	2020
192	6720	1984
193	6744	1946
194	6778	1912
195	6805	1874
196	6834	1838
197	6862	1802
198	6890	1765
199	6909	1727
200	6926	1688
201	6941	1649
202	6952	1609
203	6967	1571
204	6981	1532
205	6997	1494
206	7012	1456
207	7027	1419
208	7042	1381
209	7057	1344
210	7072	1307
211	7099	1272
212	7128	1238
213	7155	1203
214	7180	1168
215	7204	1134
216	7233	1100
217	7267	1066
218	7294	1032
219	7320	998
220	7354	965
221	7395	932
222	7428	899
223	7471	867
224	7510	834
225	7542	800
226	7571	767
227	7599	733
228	7629	699
229	7658	665
230	7691	632
231	7716	598
232	7747	565
233	7777	531
234	7797	497
235	7827	464
236	7850	430
237	7878	397
238	7909	364
239	7945	331
240	7979	297
241	8008	264
242	8037	231
243	8069	198
244	8099	165
245	8137	132
246	8168	99
247	8198	66
248	8224	33
249	8256	0
